# EchoMQ v1→v3 — flat agent index
# line: command | feature | status | v3 home | doc

addStandardJob-9 | admission | SHIPPED (ported) | EchoMQ.Jobs.enqueue/4 (@enqueue, jobs.ex:14) | admission/addStandardJob-9.md
getRateLimitTtl-2 | metrics | SHIPPED (ported) | EchoMQ.Metrics.get_rate_limit_ttl/3 (@rate_ttl, metrics.ex:221) | metrics/getRateLimitTtl-2.md
isMaxed-2 | metrics | SHIPPED (ported) | EchoMQ.Metrics.is_maxed/2 (@is_maxed, metrics.ex:260) | metrics/isMaxed-2.md
isFinished-3 | metrics | PARTIAL | no def is_finished; a thin finished?/3 over EchoMQ.Metrics.get_job_state/3 (@state_lookup, metrics.ex:148) | metrics/isFinished-3.md
isJobInList-1 | metrics | NOT YET | no def in_list; re-derives as a declared-key ZSCORE (the @state_lookup mechanism) | metrics/isJobInList-1.md
paginate-1 | metrics | NOT YET | no def paginate; the shipped listing is EchoMQ.Jobs.browse/3 + pending_size/3 | metrics/paginate-1.md
addRepeatableJob-2 | repeat | SHIPPED (ported) | EchoMQ.Repeat.register/6 (@repeat_register, repeat.ex:58) | repeat/addRepeatableJob-2.md
addJobScheduler-11 | repeat | PARTIAL | EchoMQ.Repeat.register/6 + EchoMQ.Pump (@repeat_register, repeat.ex:58) | repeat/addJobScheduler-11.md
getJobScheduler-1 | repeat | PROPOSED (partial) | EchoMQ.Repeat.get/3 (proposed) beside count/2/due/3 (repeat.ex:96/:141) | repeat/getJobScheduler-1.md
removeJobScheduler-3 | repeat | SHIPPED (ported) | EchoMQ.Repeat.cancel/3 (@repeat_cancel, repeat.ex:79) | repeat/removeJobScheduler-3.md
updateJobScheduler-12 | repeat | SHIPPED (ported) | EchoMQ.Repeat.advance/4 + EchoMQ.Pump (@repeat_advance, repeat.ex:128) | repeat/updateJobScheduler-12.md
updateRepeatableJobMillis-1 | repeat | PARTIAL | EchoMQ.Repeat.advance/4 (@repeat_advance, repeat.ex:128) | repeat/updateRepeatableJobMillis-1.md
removeRepeatable-3 | repeat | SHIPPED (ported, new form) | EchoMQ.Repeat.cancel/3 (@repeat_cancel, repeat.ex:79) | repeat/removeRepeatable-3.md
retryJob-11 | retry | PARTIAL | split across EchoMQ.Jobs.retry/7 (@retry, jobs.ex:593) + reprocess_job/3 (jobs.ex:912); a single active→pending-now lock-released requeue_active/4 is PROPOSED | retry/retryJob-11.md
reprocessJob-8 | retry | SHIPPED (ported) | EchoMQ.Jobs.reprocess_job/3 (@reprocess, jobs.ex:912) | retry/reprocessJob-8.md
moveToDelayed-8 | retry | SHIPPED (ported as retry-reschedule) | EchoMQ.Jobs.retry/7 non-terminal arm (@retry, jobs.ex:593) | retry/moveToDelayed-8.md
addDelayedJob-6 | scheduling | SHIPPED (ported) | EchoMQ.Jobs.enqueue_at/5 + enqueue_in/5 (@schedule, jobs.ex:38) | scheduling/addDelayedJob-6.md
changeDelay-4 | scheduling | NOT YET (proposed) | reschedule/4 (proposed) beside @schedule/@promote | scheduling/changeDelay-4.md
promote-9 | scheduling | PARTIAL | EchoMQ.Jobs.promote/3 (@promote due-sweep, jobs.ex:540); targeted promote_now/3 (proposed) | scheduling/promote-9.md
